221959,187065
222697,193433
222705,194754
250649,257220
255409,259144
258694,264737
258686,262696
260229,264138
260237,267498
260241,267502
261069,264142
261073,267786
280562,285196
285129,287870
286639,289810
297035,302994
312646,311756
312847,317993
349888,347758
374467,376519
379928,383832
384094,385552
52821,44223
52816,37090
53395,44225
52799,37909
52790,54931
235638,240014
244937,250124
254756,257128
250665,257224
255415,259152
263742,272167
272720,275667
278119,282301
278123,280192
277673,282309
288883,316527
291888,295174
300940,307669
322305,340974
326606,334504
392270,374176
392272,377119
392288,377123
392426,384738
392428,384405
1005735,1056543
72128,26243
54686,26249
32855,26257
32681,26334
32667,26265
74609,30258
60406,40889
60417,52246
254768,256000
258625,262700
306746,308605
337588,347770
351980,355460
65566,26339
55943,26343
75279,26356
55948,26380
67341,28784
90848,26361
55972,35433
250657,255465
250637,256248
260245,268113
267757,270591
270043,278401
270050,273888
283929,289818
283956,290272
295949,300098
312648,313476
306760,313330
340498,343618
1137051,1152712
118681,25392
118683,26419
118690,26490
118693,26494
118696,26498
118698,26502
119030,26506
56319,48055
222592,193848
222569,199383
327080,252748
263678,266945
272694,274778
281397,285204
282674,287172
285469,288952
394747,291628
295877,297505
296298,300306
296530,300771
377766,378497
395090,385711
101528,27122
89575,27126
121228,27130
54651,30987
52836,39752
60443,47366
222736,209629
236978,239695
272728,269761
267745,269769
272772,276999
272700,278409
285480,287878
431819,290394
295885,298486
315320,319742
339153,342082
353184,357345
358355,358752
414458,367271
432901,372769
432910,376527
414460,384701
414462,385835
118674,26653
118670,26671
118701,26693
119024,26717
118703,26722
118990,29518
118704,36833
283940,291114
35475,26812
32237,26854
32246,26870
32264,26891
32270,26912
32306,26935
32332,26946
32409,26983
35486,26991
32003,26999
89390,27007
89404,27015
62636,44539
286683,218380
241381,241701
431749,250305
248611,250313
258684,259647
260231,260807
263685,264741
267763,269487
296413,294174
315322,319750
321232,317143
335396,338519
331853,334278
327035,336290
337435,340490
985197,995798
118691,26760
118711,26770
118712,26775
118714,26779
118719,33873
118715,28952
118718,31757
118741,37915
118729,36862
118738,37092
241356,243851
296415,250200
250624,255520
258662,261886
291049,296593
300513,301585
321316,330769
351339,354751
364667,374446
374561,377450
377881,379496
384096,386833
51151,26783
54665,26788
51138,26791
51160,28842
62650,30072
51533,30148
51494,31686
51485,35443
62656,43039
51542,38255
62666,45134
225559,227411
299280,247734
265254,269777
280662,286178
297648,324435
297655,307035
300287,304707
300289,324359
338588,340412
331857,340427
352005,353020
362973,364379
369614,373821
377079,386059
222750,210004
222752,224836
241346,246828
238666,246832
242899,255913
242900,252756
296282,247742
261065,265134
267747,271461
270063,275672
290963,296020
293681,300998
295883,301226
300955,306201
92669,27134
96221,27190
51515,27225
40794,44543
40799,44545
101411,45625
64622,47403
222768,195571
222773,221614
241397,245838
421241,249300
248638,251229
270023,282615
294869,312937
295865,301471
293689,296597
296404,304074
306753,310035
305486,308268
312727,317216
326634,338523
326636,337880
338586,347798
338584,347806
350342,361979
369717,366926
350731,366934
369719,365856
388021,395407
1151022,1193329
120056,26540
118831,26548
118828,26555
118825,27080
118792,27097
118789,27110
118779,27114
119802,27118
222775,224858
222777,224866
222779,224874
222781,224878
270069,321646
267767,319758
272814,323290
274508,306209
300508,311320
305601,329608
306751,324443
321264,337061
326529,337069
384090,397718
388409,397726
297290,264745
297292,264784
297294,266075
281432,282939
288881,290906
300946,303006
300948,304082
321304,317944
349820,348547
349866,347814
379548,383975
64046,31014
60600,31025
60673,31027
337444,357706
369385,379202
377764,384130
33396,27167
33799,27242
33493,27274
33444,27291
33644,27295
34672,27299
33452,27308
33457,27319
62695,36029
222787,200191
222791,206556
222795,206530
222809,206605
222812,208249
260227,266953
258719,266957
261059,266961
267759,271943
272816,280212
273516,280938
274516,280942
312842,296504
306699,310736
312651,310744
321451,325140
335382,338919
370009,364484
370011,369274
374610,378772
377010,378780
379936,383856
379938,383005
59375,28902
59456,28922
59524,28929
59533,28933
59543,28937
64672,28956
59575,31033
59601,31037
59615,49847
68082,60362
222825,213626
222841,213958
222851,216747
236970,239747
258657,261894
417074,262028
267771,276948
270056,280694
283918,273896
285472,289515
321453,335886
337554,356075
349822,356251
844181,859894
1223029,1229401
222884,195579
233461,242608
241370,245412
248665,257595
255419,260446
254783,263195
254819,271958
283936,294179
267751,286570
281430,285966
293685,306217
290953,300122
326638,339792
374612,378509
388415,396599
62715,30495
63392,30499
63406,37929
63415,44958
65271,50637
65280,56351
222916,208627
241394,251258
254754,254398
254748,254884
255407,255921
258623,259156
263676,265272
275417,280073
300950,304086
326594,332379
353186,353857
391092,392088
119067,28998
119070,29006
37548,29018
34231,29022
37557,29033
48996,29038
47228,41399
222933,209661
222935,215071
225376,233320
432425,313241
312676,313249
321464,320112
321466,324447
326588,339494
326484,335296
331861,337884
337589,344087
337570,345462
337441,343412
339185,344217
358248,345479
340506,344225
392329,364756
392325,362594
414563,364496
394754,367400
414565,367666
414567,367950
414527,385383
432908,388675
388029,392843
392161,395139
1108061,1127826
1171240,1183999
65013,58410
66997,32761
64867,57691
65611,66354
124879,58634
60732,58443
60741,58665
65022,58675
60746,42614
67389,44878
60760,50025
64907,49561
254758,260514
267755,282447
267783,312941
267743,280200
274510,312945
286644,312965
300942,312973
432881,374456
379940,387240
392331,379272
86206,27348
65383,27350
64711,27356
222947,191845
222954,191867
222973,214013
228527,228649
232863,240245
229343,235141
232860,235819
235656,240254
235659,240861
250647,255925
258680,258722
258660,260458
281841,286817
283922,294306
291927,296371
340502,346757
119076,27465
119079,27473
119084,27481
119087,59430
119105,27532
119112,47687
119114,32781
223001,200238
223008,213630
223011,223761
263730,270607
267781,274762
273518,281584
274506,285061
314561,324531
322260,321332
335406,341162
388431,396955
398319,399555
1058589,1074115
119121,27534
119122,27538
119126,27551
119127,27555
119134,27562
119136,27566
51629,28894
42468,27571
54780,48072
54785,44568
51588,45138
254809,256946
254779,257144
283946,285974
363278,364764
377083,379204
379955,384138
388433,389071
1147596,1163987
